Date,water.level.above.sensor_MM2W,water.level.above.sensor_MM3W,water.level.above.sensor_MM4W,water.level.above.sensor_MM5W,water.level.above.sensor_MM7W,depth.gw_ft_MM2W,depth.gw_ft_MM3W,depth.gw_ft_MM4W,depth.gw_ft_MM5W,depth.gw_ft_MM7W,water.level.above.sensor_MM6W,depth.gw_ft_MM6W,WY
2019-11-02,NA,1.191,NA,NA,2.478,NA,8.142,NA,NA,6.98,NA,NA,2020
2019-11-09,NA,0.938,NA,NA,2.323,NA,8.395,NA,NA,7.135,NA,NA,2020
2019-11-16,NA,0.791,NA,NA,2.235,NA,8.542,NA,NA,7.223,NA,NA,2020
2019-11-23,NA,0.637,NA,NA,2.053,NA,8.696,NA,NA,7.405,NA,NA,2020
2019-11-30,NA,0.384,NA,NA,1.823,NA,8.949,NA,NA,7.635,NA,NA,2020
2019-12-07,0.018,1.54,NA,NA,2.866,3.815,7.793,NA,NA,6.592,NA,NA,2020
2019-12-14,0.002,4.829,NA,NA,4.586,3.831,4.504,NA,NA,4.872,NA,NA,2020
2019-12-21,0,4.752,NA,NA,4.865,3.833,4.581,NA,NA,4.593,NA,NA,2020
2019-12-28,0.854,4.738,3.506,4.464,4.731,2.979,4.595,1.661,0.703,4.727,NA,NA,2020
2020-01-04,1.558,4.482,3.686,4.651,4.595,2.275,4.851,1.481,0.516,4.863,NA,NA,2020
2020-01-11,1.483,NA,3.532,4.494,4.496,2.35,NA,1.635,0.673,4.962,NA,NA,2020
2020-01-18,1.512,NA,3.574,4.53,4.361,2.321,NA,1.593,0.637,5.097,NA,NA,2020
2020-01-25,1.756,NA,3.577,4.561,5.462,2.077,NA,1.59,0.606,3.996,NA,NA,2020
2020-02-01,2.152,NA,3.589,4.591,6.45,1.681,NA,1.578,0.576,3.008,NA,NA,2020
2020-02-08,2.32,NA,3.677,4.754,6.464,1.513,NA,1.49,0.413,2.994,NA,NA,2020
2020-02-15,2.509,NA,3.513,4.707,6.855,1.324,NA,1.654,0.46,2.603,NA,NA,2020
2020-02-22,2.44,NA,3.47,4.561,6.821,1.393,NA,1.697,0.606,2.637,NA,NA,2020
2020-02-29,2.277,NA,3.485,4.566,6.588,1.556,NA,1.682,0.601,2.87,NA,NA,2020
2020-03-07,2.142,NA,3.411,4.471,6.356,1.691,NA,1.756,0.696,3.102,NA,NA,2020
2020-03-14,2.129,NA,3.464,4.52,6.197,1.704,NA,1.703,0.647,3.261,NA,NA,2020
2020-03-21,2.287,NA,3.337,4.422,6.622,1.546,NA,1.83,0.745,2.836,NA,NA,2020
2020-03-28,2.519,NA,3.147,4.343,7.289,1.314,NA,2.02,0.824,2.169,NA,NA,2020
2020-04-04,2.426,NA,2.773,4.027,7.684,1.407,NA,2.394,1.14,1.774,NA,NA,2020
2020-04-11,2.473,NA,3.108,4.303,7.715,1.36,NA,2.059,0.864,1.743,NA,NA,2020
2020-04-18,2.607,NA,3.519,4.61,7.446,1.226,NA,1.648,0.557,2.012,NA,NA,2020
2020-04-25,2.179,7.045,2.081,2.746,7.076,1.654,2.288,3.094,2.421,2.382,NA,NA,2020
2020-05-02,1.756,6.697,2.024,2.717,6.723,2.077,2.636,3.143,2.45,2.735,NA,NA,2020
2020-05-09,1.688,6.418,2.181,2.962,6.468,2.145,2.915,2.986,2.205,2.99,NA,NA,2020
2020-05-16,1.747,6.816,2.055,2.918,6.821,2.086,2.517,3.112,2.249,2.637,NA,NA,2020
2020-05-23,1.455,6.688,1.985,2.863,6.622,2.378,2.645,3.182,2.304,2.836,NA,NA,2020
2020-05-30,1.154,6.292,1.797,2.718,6.26,2.679,3.041,3.37,2.449,3.198,NA,NA,2020
2020-06-06,0.927,5.987,1.557,2.426,5.987,2.906,3.346,3.61,2.741,3.471,NA,NA,2020
2020-06-13,0.626,5.711,1.149,1.852,5.739,3.207,3.622,4.018,3.315,3.719,NA,NA,2020
2020-06-20,0.343,5.425,0.885,1.451,5.482,3.49,3.908,4.282,3.716,3.976,NA,NA,2020
2020-06-27,0.065,5.15,0.576,1.057,5.197,3.768,4.183,4.591,4.11,4.261,NA,NA,2020
2020-07-04,0.001,4.866,0.133,0.578,4.863,3.832,4.467,5.034,4.589,4.595,0.386,4.281,2020
2020-07-11,0,4.61,0.004,0.38,4.536,3.833,4.723,5.163,4.787,4.922,0.243,4.424,2020
2020-07-18,0.037,4.524,0.037,0.316,4.34,3.796,4.809,5.13,4.851,5.118,0.178,4.489,2020
2020-07-25,0.078,3.946,0.052,0.186,4.179,3.755,5.387,5.115,4.981,5.279,0.031,4.636,2020
2020-08-01,0.066,3.456,0.054,0.105,3.863,3.767,5.877,5.113,5.062,5.595,0,4.667,2020
2020-08-08,0.049,3.218,0.056,0.031,3.638,3.784,6.115,5.111,5.136,5.82,0,4.667,2020
2020-08-15,0.023,2.868,0.024,0.001,3.32,3.81,6.465,5.143,5.166,6.138,0.007,4.66,2020
2020-08-22,0,2.638,0,0,3.052,3.833,6.695,5.167,5.167,6.406,0,4.667,2020
2020-08-29,0,2.42,0,0,2.855,3.833,6.913,5.167,5.167,6.603,0,4.667,2020
2020-09-05,0.001,2.165,0,0,2.678,3.832,7.168,5.167,5.167,6.78,0,4.667,2020
2020-09-12,0,1.947,0,0.001,2.495,3.833,7.386,5.167,5.166,6.963,0,4.667,2020
2020-09-19,0,1.723,0,0,2.294,3.833,7.61,5.167,5.167,7.164,0,4.667,2020
2020-09-26,0.002,1.43,0,0.001,2.175,3.831,7.903,5.167,5.166,7.283,0,4.667,2020
2020-10-03,0,1.232,0,0,1.885,3.833,8.101,5.167,5.167,7.573,0,4.667,2021
2020-10-10,0.002,1.005,0,0,1.639,3.831,8.328,5.167,5.167,7.819,0,4.667,2021
2020-10-17,0,0.761,0,0.008,1.458,3.833,8.572,5.167,5.159,8,0,4.667,2021
2020-10-24,1.302,0.493,1.47,1.886,1.284,2.531,8.84,3.697,3.281,8.174,0,4.667,2021
2020-10-31,1.177,0.241,1.45,1.86,1.123,2.656,9.092,3.717,3.307,8.335,0,4.667,2021
2020-11-07,1.202,0.24,1.472,1.843,1.005,2.631,9.093,3.695,3.324,8.453,0,4.667,2021
2020-11-14,1.066,0.262,1.352,1.721,0.911,2.767,9.071,3.815,3.446,8.547,0.002,4.665,2021
2020-11-21,0.929,0.234,1.235,1.589,0.746,2.904,9.099,3.932,3.578,8.712,0,4.667,2021
2020-11-28,0.782,0.232,1.091,1.435,0.58,3.051,9.101,4.076,3.732,8.878,0,4.667,2021
2020-12-05,0.707,0.24,0.993,1.313,0.387,3.126,9.093,4.174,3.854,9.071,0,4.667,2021
2020-12-12,0.873,0.263,1.115,1.4,0.222,2.96,9.07,4.052,3.767,9.236,0,4.667,2021
2020-12-19,1.204,0.277,1.41,1.739,0.215,2.629,9.056,3.757,3.428,9.243,0,4.667,2021
2020-12-26,1.342,0.273,1.615,2.098,0.217,2.491,9.06,3.552,3.069,9.241,0.014,4.653,2021
2021-01-02,0,0.271,0,0.006,0.232,3.833,9.062,5.167,5.161,9.226,0.003,4.664,2021
2021-01-09,0,0.274,0,0.002,0.256,3.833,9.059,5.167,5.165,9.202,0.003,4.664,2021
2021-01-16,0,0.274,0,0,0.243,3.833,9.059,5.167,5.167,9.215,0,4.667,2021
2021-01-23,0,0.253,0,0,0.232,3.833,9.08,5.167,5.167,9.226,0,4.667,2021
2021-01-30,0,0.239,0,0,0.241,3.833,9.094,5.167,5.167,9.217,0,4.667,2021
2021-02-06,0,0.228,0,0.009,0.268,3.833,9.105,5.167,5.158,9.19,0.181,4.486,2021
2021-02-13,0,1.799,0.124,0.783,1.48,3.833,7.534,5.043,4.384,7.978,1.214,3.453,2021
2021-02-20,0,5.27,0.595,1.414,4.283,3.833,4.063,4.572,3.753,5.175,1.195,3.472,2021
2021-02-27,0,5.571,0.794,1.464,4.886,3.833,3.762,4.373,3.703,4.572,1.287,3.38,2021
2021-03-06,NA,6.222,1.401,2.006,5.775,NA,3.111,3.766,3.161,3.683,1.784,2.883,2021
2021-03-13,NA,6.653,1.699,2.278,6.192,NA,2.68,3.468,2.889,3.266,2.069,2.598,2021
2021-03-20,NA,7.392,2.369,2.986,6.85,NA,1.941,2.797,2.181,2.608,2.7,1.967,2021
2021-03-27,NA,8.424,3.577,4.421,8.005,NA,0.909,1.59,0.746,1.453,3.615,1.052,2021
2021-04-03,NA,8.208,3.475,4.565,7.916,NA,1.125,1.692,0.602,1.542,3.486,1.181,2021
2021-04-10,NA,7.764,3.05,4.066,7.45,NA,1.569,2.117,1.101,2.008,3.049,1.618,2021
2021-04-17,NA,7.489,2.751,3.697,7.135,NA,1.844,2.416,1.47,2.323,2.727,1.94,2021
2021-04-24,NA,7.548,2.786,3.633,7.128,NA,1.785,2.381,1.534,2.33,2.73,1.937,2021
2021-05-01,1.843,7.218,2.365,3.215,6.82,1.99,2.115,2.802,1.952,2.638,2.392,2.275,2021
2021-05-08,1.442,6.808,1.944,2.77,6.476,2.391,2.525,3.223,2.397,2.982,1.953,2.714,2021
2021-05-15,1.129,6.5,1.624,2.383,6.248,2.704,2.833,3.543,2.784,3.21,1.587,3.08,2021
2021-05-22,0.841,6.214,1.324,2.006,6.037,2.992,3.119,3.843,3.161,3.421,1.278,3.389,2021
2021-05-29,0.558,5.941,1.02,1.631,5.81,3.275,3.392,4.147,3.536,3.648,1.022,3.645,2021
2021-06-05,0.245,5.64,0.713,1.236,5.544,3.588,3.693,4.454,3.931,3.914,0.757,3.91,2021
2021-06-12,0.011,5.382,0.432,0.911,5.287,3.822,3.951,4.735,4.256,4.171,0.536,4.131,2021
2021-06-19,0,5.097,0.166,0.679,4.97,3.833,4.236,5.001,4.488,4.488,0.33,4.337,2021
2021-06-26,0,4.765,0.001,0.51,4.652,3.833,4.568,5.166,4.657,4.806,0.118,4.549,2021
2021-07-03,0,4.178,0,0.358,4.408,3.833,5.155,5.167,4.809,5.05,0,4.667,2021
2021-07-10,0,3.439,0,0.218,4.198,3.833,5.894,5.167,4.949,5.26,0,4.667,2021
2021-07-17,0,3.038,0,0.099,3.927,3.833,6.295,5.167,5.068,5.531,0,4.667,2021
2021-07-24,0,2.827,0,0.009,3.697,3.833,6.506,5.167,5.158,5.761,0,4.667,2021
2021-07-31,0,2.58,0,0,3.488,3.833,6.753,5.167,5.167,5.97,0,4.667,2021
2021-08-07,0,2.372,0,0,3.335,3.833,6.961,5.167,5.167,6.123,0,4.667,2021
2021-08-14,0,2.145,0,0,3.207,3.833,7.188,5.167,5.167,6.251,0,4.667,2021
2021-08-21,0,1.958,0,0,2.981,3.833,7.375,5.167,5.167,6.477,0,4.667,2021
2021-08-28,0,1.742,0,0,2.81,3.833,7.591,5.167,5.167,6.648,0,4.667,2021
2021-09-04,0.023,1.472,0.017,0.019,2.625,3.81,7.861,5.15,5.148,6.833,0,4.667,2021
2021-09-11,0.097,1.349,0.075,0.08,2.472,3.736,7.984,5.092,5.087,6.986,NA,NA,2021
2021-09-18,0.142,1.103,0.079,0.088,2.305,3.691,8.23,5.088,5.079,7.153,NA,NA,2021
2021-09-25,0.136,0.893,0.075,0.083,2.148,3.697,8.44,5.092,5.084,7.31,NA,NA,2021
2021-10-02,0.125,0.653,0.078,0.081,1.996,3.708,8.68,5.089,5.086,7.462,NA,NA,NA
2021-10-09,0.104,0.386,0.069,0.077,1.826,3.729,8.947,5.098,5.09,7.632,NA,NA,NA
2021-10-16,0.139,0.403,0.073,0.124,1.717,3.694,8.93,5.094,5.043,7.741,NA,NA,NA
2021-10-23,2.408,6.072,2.658,3.385,5.923,1.425,3.261,2.509,1.782,3.535,NA,NA,NA
2021-10-30,2.571,7.813,3.117,3.953,7.4,1.262,1.52,2.05,1.214,2.058,NA,NA,NA
2021-11-06,2.579,7.912,3.125,3.882,7.38,1.254,1.421,2.042,1.285,2.078,NA,NA,NA
2021-11-13,2.321,7.753,2.898,3.651,7.245,1.512,1.58,2.269,1.516,2.213,NA,NA,NA
2021-11-20,2.077,7.569,2.689,3.403,7.077,1.756,1.764,2.478,1.764,2.381,NA,NA,NA
2021-11-27,1.759,7.288,2.383,3.083,6.838,2.074,2.045,2.784,2.084,2.62,NA,NA,NA
2021-12-04,1.587,7.104,2.172,2.827,6.589,2.246,2.229,2.995,2.34,2.869,NA,NA,NA
2021-12-11,1.819,7.318,2.323,2.902,6.749,2.014,2.015,2.844,2.265,2.709,NA,NA,NA
2021-12-18,2.396,7.799,2.822,3.444,7.185,1.437,1.534,2.345,1.723,2.273,NA,NA,NA
2021-12-25,3.118,8.452,3.689,4.723,7.935,0.716,0.881,1.478,0.444,1.523,NA,NA,NA
2022-01-01,3.211,8.484,3.784,4.737,7.96,0.622,0.849,1.383,0.43,1.498,NA,NA,NA
2022-01-08,3.138,8.419,3.673,4.648,8.009,0.695,0.914,1.494,0.519,1.449,NA,NA,NA
2022-01-15,3.138,8.409,3.669,4.623,7.968,0.695,0.924,1.498,0.544,1.49,NA,NA,NA
2022-01-22,3.197,8.445,3.711,4.685,8.055,0.636,0.888,1.456,0.482,1.403,NA,NA,NA
2022-01-29,3.129,8.437,3.685,4.681,8.016,0.704,0.896,1.482,0.486,1.442,NA,NA,NA
2022-02-05,3.282,8.511,3.802,4.828,8.242,0.551,0.822,1.365,0.339,1.216,NA,NA,NA
2022-02-12,3.09,8.435,3.709,4.87,8.327,0.743,0.898,1.458,0.297,1.131,NA,NA,NA
2022-02-19,2.986,8.231,3.606,4.747,8.051,0.847,1.102,1.561,0.42,1.407,NA,NA,NA
2022-02-26,2.88,8.135,3.619,4.71,8.009,0.953,1.198,1.548,0.457,1.449,NA,NA,NA
2022-03-05,2.811,8.076,3.575,4.632,7.965,1.022,1.257,1.592,0.535,1.493,NA,NA,NA
2022-03-12,2.821,8.113,3.601,4.656,7.985,1.012,1.22,1.566,0.511,1.473,NA,NA,NA
2022-03-19,2.645,8.01,3.513,4.579,7.915,1.188,1.323,1.654,0.588,1.543,NA,NA,NA
2022-03-26,2.438,7.836,3.374,4.526,7.82,1.395,1.497,1.793,0.641,1.638,NA,NA,NA
2022-04-02,NA,7.433,NA,NA,7.424,NA,1.9,NA,NA,2.034,NA,NA,NA
2022-04-09,NA,7.43,NA,NA,7.425,NA,1.903,NA,NA,2.033,NA,NA,NA
2022-04-16,NA,8.191,NA,NA,7.865,NA,1.142,NA,NA,1.593,NA,NA,NA
2022-04-23,NA,7.953,NA,NA,7.711,NA,1.38,NA,NA,1.747,NA,NA,NA
2022-04-30,NA,7.492,NA,NA,7.343,NA,1.841,NA,NA,2.115,NA,NA,NA
2022-05-07,NA,7.443,NA,NA,7.335,NA,1.89,NA,NA,2.123,NA,NA,NA
2022-05-14,NA,7.196,NA,NA,7.121,NA,2.137,NA,NA,2.337,NA,NA,NA
2022-05-21,NA,6.826,NA,NA,6.854,NA,2.507,NA,NA,2.604,NA,NA,NA
2022-05-28,NA,6.622,NA,NA,6.691,NA,2.711,NA,NA,2.767,NA,NA,NA
2022-06-04,NA,6.469,NA,NA,6.575,NA,2.864,NA,NA,2.883,NA,NA,NA
