Date,Time,pres (psi),temp (f)
12/15/2019,03:00:00,12.4205,46.908
12/15/2019,03:30:00,12.4281,46.908
12/15/2019,04:00:00,12.4312,46.908
12/15/2019,04:30:00,12.4357,46.908
12/15/2019,05:00:00,12.4387,46.908
12/15/2019,05:30:00,12.4434,46.908
12/15/2019,06:00:00,12.4495,46.908
12/15/2019,06:30:00,12.4556,46.908
12/15/2019,07:00:00,12.4602,46.908
12/15/2019,07:30:00,12.4663,46.908
12/15/2019,08:00:00,12.4738,46.908
12/15/2019,08:30:00,12.4785,46.908
12/15/2019,09:00:00,12.483,46.908
12/15/2019,09:30:00,12.4862,46.908
12/15/2019,10:00:00,12.4937,46.908
12/15/2019,10:30:00,12.4953,46.908
12/15/2019,11:00:00,12.4953,46.908
12/15/2019,11:30:00,12.4937,46.908
12/15/2019,12:00:00,12.4937,46.908
12/15/2019,12:30:00,12.4906,46.908
12/15/2019,13:00:00,12.4937,46.908
12/15/2019,13:30:00,12.4953,46.908
12/15/2019,14:00:00,12.4983,46.908
12/15/2019,14:30:00,12.4998,46.908
12/15/2019,15:00:00,12.5044,46.908
12/15/2019,15:30:00,12.5075,46.908
12/15/2019,16:00:00,12.5089,46.908
12/15/2019,16:30:00,12.5105,46.908
12/15/2019,17:00:00,12.5136,46.908
12/15/2019,17:30:00,12.5197,46.908
12/15/2019,18:00:00,12.5243,46.908
12/15/2019,18:30:00,12.5257,46.908
12/15/2019,19:00:00,12.5288,46.908
12/15/2019,19:30:00,12.5288,46.908
12/15/2019,20:00:00,12.5349,46.908
12/15/2019,20:30:00,12.5349,46.908
12/15/2019,21:00:00,12.5365,46.908
12/15/2019,21:30:00,12.5395,46.908
12/15/2019,22:00:00,12.5426,46.908
12/15/2019,22:30:00,12.5456,46.908
12/15/2019,23:00:00,12.5487,46.908
12/15/2019,23:30:00,12.5517,46.908
12/16/2019,00:00:00,12.5533,46.908
12/16/2019,00:30:00,12.5548,46.908
12/16/2019,01:00:00,12.5578,46.908
12/16/2019,01:30:00,12.5564,46.908
12/16/2019,02:00:00,12.5608,46.908
12/16/2019,02:30:00,12.5639,46.908
12/16/2019,03:00:00,12.5685,46.908
12/16/2019,03:30:00,12.5685,46.908
12/16/2019,04:00:00,12.5685,46.908
12/16/2019,04:30:00,12.5669,46.908
12/16/2019,05:00:00,12.5716,46.908
12/16/2019,05:30:00,12.5762,46.908
12/16/2019,06:00:00,12.5807,46.908
12/16/2019,06:30:00,12.5838,46.908
12/16/2019,07:00:00,12.5838,46.908
12/16/2019,07:30:00,12.5884,46.908
12/16/2019,08:00:00,12.5884,46.908
12/16/2019,08:30:00,12.5945,46.908
12/16/2019,09:00:00,12.5975,46.908
12/16/2019,09:30:00,12.6006,46.908
12/16/2019,10:00:00,12.6022,46.908
12/16/2019,10:30:00,12.6036,46.908
12/16/2019,11:00:00,12.6036,46.908
12/16/2019,11:30:00,12.5961,46.908
12/16/2019,12:00:00,12.5884,46.908
12/16/2019,12:30:00,12.5884,46.908
12/16/2019,13:00:00,12.5793,46.908
12/16/2019,13:30:00,12.5854,46.908
12/16/2019,14:00:00,12.5854,46.908
12/16/2019,14:30:00,12.5838,46.908
12/16/2019,15:00:00,12.5899,46.908
12/16/2019,15:30:00,12.5915,46.908
12/16/2019,16:00:00,12.5945,46.908
12/16/2019,16:30:00,12.5915,46.908
12/16/2019,17:00:00,12.5945,46.908
12/16/2019,17:30:00,12.5975,46.908
12/16/2019,18:00:00,12.6006,46.908
12/16/2019,18:30:00,12.6022,46.908
12/16/2019,19:00:00,12.5991,46.908
12/16/2019,19:30:00,12.5975,46.908
12/16/2019,20:00:00,12.5945,46.908
12/16/2019,20:30:00,12.5975,46.908
12/16/2019,21:00:00,12.6006,46.908
12/16/2019,21:30:00,12.5984,46.728
12/16/2019,22:00:00,12.5961,46.908
12/16/2019,22:30:00,12.5923,46.728
12/16/2019,23:00:00,12.5929,46.908
12/16/2019,23:30:00,12.5899,46.908
12/17/2019,00:00:00,12.5868,46.908
12/17/2019,00:30:00,12.5807,46.908
12/17/2019,01:00:00,12.5755,46.728
12/17/2019,01:30:00,12.5771,46.728
12/17/2019,02:00:00,12.5755,46.728
12/17/2019,02:30:00,12.5771,46.728
12/17/2019,03:00:00,12.571,46.728
12/17/2019,03:30:00,12.571,46.728
12/17/2019,04:00:00,12.5664,46.728
12/17/2019,04:30:00,12.5649,46.728
12/17/2019,05:00:00,12.5619,46.728
12/17/2019,05:30:00,12.5619,46.728
12/17/2019,06:00:00,12.5619,46.728
12/17/2019,06:30:00,12.568,46.728
12/17/2019,07:00:00,12.571,46.728
12/17/2019,07:30:00,12.571,46.728
12/17/2019,08:00:00,12.5725,46.728
12/17/2019,08:30:00,12.5694,46.728
12/17/2019,09:00:00,12.5694,46.728
12/17/2019,09:30:00,12.5694,46.728
12/17/2019,10:00:00,12.5649,46.728
12/17/2019,10:30:00,12.5619,46.728
12/17/2019,11:00:00,12.5588,46.728
12/17/2019,11:30:00,12.5572,46.728
12/17/2019,12:00:00,12.5481,46.728
12/17/2019,12:30:00,12.5359,46.728
12/17/2019,13:00:00,12.5343,46.728
12/17/2019,13:30:00,12.5266,46.728
12/17/2019,14:00:00,12.5205,46.728
12/17/2019,14:30:00,12.516,46.728
12/17/2019,15:00:00,12.5114,46.728
12/17/2019,15:30:00,12.5099,46.728
12/17/2019,16:00:00,12.5053,46.728
12/17/2019,16:30:00,12.4976,46.728
12/17/2019,17:00:00,12.4976,46.728
12/17/2019,17:30:00,12.4946,46.728
12/17/2019,18:00:00,12.4885,46.728
12/17/2019,18:30:00,12.4854,46.728
12/17/2019,19:00:00,12.4854,46.728
12/17/2019,19:30:00,12.4854,46.728
12/17/2019,20:00:00,12.4809,46.728
12/17/2019,20:30:00,12.4779,46.728
12/17/2019,21:00:00,12.4732,46.728
12/17/2019,21:30:00,12.4672,46.728
12/17/2019,22:00:00,12.4718,46.728
12/17/2019,22:30:00,12.4718,46.728
12/17/2019,23:00:00,12.4686,46.728
12/17/2019,23:30:00,12.4656,46.728
12/18/2019,00:00:00,12.4656,46.728
12/18/2019,00:30:00,12.4595,46.728
12/18/2019,01:00:00,12.4611,46.728
